Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0.189448	4.502463	-0.001467	8.289988
0.229464	4.697338	-0.00275	8.546349
0.254502	5.012316	-0.017846	8.895706
0.282111	5.137614	0.013384	9.106452
0.309536	5.300638	0.003178	9.298457
0.36553	5.544909	0.012468	9.727374
0.435787	5.668325	0.00874	10.058344
0.485333	5.812599	-0.008862	10.368099
0.513819	6.026223	0.010756	10.685985
0.543897	6.344213	0.004584	11.018724
0.576118	6.486152	-0.003728	11.385054
0.616338	6.614086	0.010023	11.721681
0.638642	7.012345	0.006356	12.223441
0.66923	7.153833	0.005134	12.552996
0.693064	7.369265	0.005134	13.039904
0.737977	7.605102	-0.008556	13.407295
0.776116	7.888454	-0.003911	13.817472
0.828253	8.104112	-0.000183	14.215273
0.852638	8.392057	-0.002261	14.690158
0.893123	8.557716	0.012895	15.104932
0.931425	8.967721	0.010451	15.610934
0.96032	9.204689	0.003422	16.093245
0.996948	9.430964	0.006601	16.572727
1.030434	9.647525	-0.008862	16.957445
1.076143	9.986824	0.001222	17.46663
1.121954	10.190284	0.012895	17.913581
1.180539	10.488168	0.006295	18.44575
1.231452	10.696823	-0.013018	18.840014
1.27259	10.928519	-0.001528	19.365111
1.319564	11.150803	0.004584	19.814537
1.370987	11.468567	0.011245	20.308164
1.430878	11.668788	0.004339	20.755115
1.490953	12.164937	-0.000672	21.326533
1.535662	12.323291	-0.003728	21.810612
1.564169	12.567864	0.008006	22.357986
1.585799	12.939467	0.002628	22.982798
1.615735	13.184717	0.013201	23.475364
1.646507	13.375451	0.028297	24.092043
1.681136	13.834777	-0.000244	24.580012
1.713295	14.084019	-0.004217	25.08071
1.750087	14.362175	0.017296	25.634802
1.786001	14.646204	0.005317	26.097665
1.827894	14.936559	0.005317	26.71293
1.861993	15.284367	0.004217	27.315466
1.89507	15.516666	0.005867	27.828894
1.933331	15.857848	0.012162	28.404202
1.944147	16.133444	0.007273	28.923641
1.978571	16.414688	0.008251	29.452274
2.016853	16.671082	0.015585	29.920795
2.015159	16.462653	0.013629	29.61104
1.973102	14.66518	0.011429	28.331714
1.950166	11.581215	0.012468	26.071499
1.928944	9.387215	0.003117	23.817295
1.911048	7.49878	-0.012284	21.64053
1.906804	6.586075	-0.005195	20.500522
1.898682	6.658965	0.017112	20.346706
1.896213	6.703919	0.005134	20.246284
1.889112	5.856875	0.007028	19.649052
1.856524	4.557206	-0.009351	17.605595
1.834567	3.658507	0.008495	15.718782
1.799714	2.68353	0.007028	14.073479
1.770411	1.984374	0.000733	12.56608
1.751964	1.539881	0.007089	11.267658
1.73715	1.157963	0.010756	10.248935
1.718172	0.884475	0.008312	9.477025
1.710826	0.845018	0.003484	9.366348
1.711908	0.791405	0.009717	9.28997
1.709051	0.949233	-0.001772	9.32427
1.70903	0.895619	-0.003178	9.30659
1.705684	1.00006	0.012957	9.345486
1.70748	0.780185	0.014668	9.325331
1.705296	0.767761	0.010023	9.321087
1.707153	0.729283	0.009473	9.345132
1.674096	0.344352	-0.001467	8.450169
1.64667	0.092174	0.023407	7.215042
1.617388	-0.285528	0.005867	6.204098
1.574699	-0.395917	0.005562	5.172646
1.555823	-0.5929	0.007273	4.482771
1.519419	-0.758333	0.006662	3.779813
1.475016	-0.716994	-0.000917	3.150051
1.419104	-0.971205	-0.002017	2.60692
1.350867	-0.781827	0.001283	2.269232
1.280875	-0.966988	0.00385	1.902548
1.236513	-1.116683	0.003667	1.690387
1.180927	-1.101624	-0.001222	1.623911
1.13432	-1.064275	0.020229	1.567334
1.066042	-1.158851	0.007762	1.297537
1.007559	-1.135433	0.004645	1.438624
0.979011	-1.147104	0.020718	1.360832
0.937526	-1.258849	-0.002017	1.406446
0.895919	-1.38603	0.027563	1.352345
0.864718	-1.398078	-0.000061	1.42448
0.817458	-1.375714	0.000183	1.475398
0.766525	-1.614262	0.033186	1.394777
0.728081	-1.54318	0.002934	1.51677
0.696084	-1.620587	0.000672	1.678011
0.65364	-1.658388	0.01369	1.744135
0.624011	-1.847389	0.001711	1.823695
0.592688	-1.804318	0.030008	2.075105
0.555549	-1.903713	-0.001467	2.188257
0.520533	-1.949797	0.006601	2.380969
0.485088	-2.053785	0.023468	2.563074
0.425095	-2.154009	0.003239	2.76109
0.365142	-2.3845	-0.001467	2.824738
0.313046	-2.429906	0.010023	3.053871
0.275724	-2.628697	-0.002017	3.240926
0.247849	-2.645413	0.007578	3.349481
0.225852	-2.7049	0.000917	3.571896
0.195264	-2.76913	0.003117	3.720408
0.157533	-2.978689	0.003239	3.911352
0.12319	-2.986595	-0.001039	4.106186
0.058606	-3.217011	-0.001467	4.338148
