Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0.075685	8.199	0.0029511	64.051
0.071169	7.9278	-0.0014755	63.982
0.068459	7.8894	-0.0054103	64.023
0.059181	7.4168	0.001414	64.033
0.0062609	4.4858	-0.011804	64.169
-0.0043518	2.2357	-0.020903	64.556
-0.0058298	1.2459	0.0003074	64.706
-0.0052551	1.2452	0.011866	64.638
-0.006733	1.1479	0.0044266	64.786
-0.01363	0.88598	0.0019059	64.908
-0.013795	0.63708	0.00043036	65.189
-0.01636	0.26	0.0059021	65.253
-0.021739	-0.2252	-0.0068858	65.498
-0.025721	-0.64648	0.011251	65.753
-0.027076	-1.216	-0.035905	65.997
-0.036724	-2.5801	0.0071317	66.476
-0.049287	-4.9109	0.0019674	67.05
-0.068418	-7.3115	0.0051029	67.539
-0.079483	-8.6247	-0.012481	67.647
-0.080201	-8.427	0.0022133	67.598
-0.057559	-7.3354	-0.00079924	66.868
-0.049287	-6.614	-0.017952	66.592
-0.045879	-6.5684	-0.010083	66.545
-0.049102	-6.5132	-0.013772	66.535
-0.035903	-5.6417	-0.00098369	66.18
-0.029416	-4.7652	0.010575	65.787
-0.026275	-4.09	0.023608	65.467
-0.023422	-3.3487	-0.003197	65.111
-0.016525	-2.8158	-0.0014755	64.921
-0.015621	-2.4362	-0.00024592	64.589
-0.011927	-2.1042	-0.0023977	64.385
-0.013322	-2.0508	-0.0056562	64.331
-0.0092785	-1.8225	0.0082999	64.259
-0.00043108	0.14531	0.0055947	63.769
0.018044	2.7385	0.0054103	63.31
0.037032	5.3603	0.017399	62.948
0.063615	7.7999	-0.006148	62.742
0.074967	8.4771	0.0068243	62.678
0.079975	8.2457	0.0029511	62.524
0.075028	7.9186	0.0070702	62.569
0.073899	7.8687	0.010575	62.464
0.060105	7.614	0.0034429	62.543
0.0087858	4.6032	-0.01039	62.634
-0.010572	2.2874	-0.0056562	62.984
-0.0073899	1.2521	-0.019489	63.2
-0.0071641	1.2503	0.00073776	63.206
-0.0080673	1.2093	-0.0054718	63.205
-0.012399	0.89744	0.013772	63.386
-0.015847	0.65821	0	63.607
-0.018331	0.3681	-0.0039962	63.845
-0.022929	-0.11458	-0.003197	64.089
-0.02375	-0.49555	0.011743	64.288
-0.029724	-1.0365	-0.0076236	64.592
-0.043416	-2.7869	-0.0046725	65.088
-0.055814	-5.2393	-0.014325	65.703
-0.077594	-7.9229	-0.006148	66.195
-0.077738	-8.5461	-0.0025207	66.262
-0.079319	-8.2093	-0.0034429	66.033
-0.054685	-6.8191	-0.011497	65.329
-0.048917	-6.4787	0.0095295	65.174
-0.048363	-6.4414	0.0024592	65.17
-0.044011	-6.2347	-0.010083	65.044
-0.032372	-5.3556	0.0036273	64.714
-0.027445	-4.5333	-0.0022748	64.415
-0.021513	-3.8186	-0.01039	64.071
-0.018311	-3.1864	0.0027051	63.637
-0.020117	-2.7195	-0.0022748	63.358
-0.016176	-2.3144	-0.0071932	63.078
-0.017428	-2.0696	-0.0067014	62.919
-0.01439	-2.0019	0.0068243	62.839
-0.016689	-1.9015	-0.015309	62.845
-0.0027096	-0.34706	0.0036273	62.425
0.012973	2.1471	-0.0071317	61.919
0.037853	4.772	-0.014263	61.609
0.057949	7.3559	-0.014202	61.367
0.080694	8.7875	-0.00073776	61.231
0.076835	8.6339	0.0083613	61.068
0.061891	7.6343	0.0058406	61.084
0.051709	7.2662	0	61.105
0.048425	7.1614	0.004611	61.101
0.0098327	5.5661	-0.0044881	61.15
-0.0031407	3.0299	0.0068858	61.376
-0.011105	1.4497	0.010575	61.698
-0.0088884	1.2427	0.0011681	61.711
-0.0064251	1.2257	-0.00024592	61.751
-0.016833	1.056	0.0022748	61.831
-0.0092169	0.81365	0.020842	62.024
-0.015457	0.57641	0.001414	62.292
-0.016422	0.24128	-0.00024592	62.514
-0.027363	-0.14489	-0.0088532	62.736
-0.029498	-0.57621	0.0023977	63.008
-0.03695	-1.772	0.021149	63.385
-0.046495	-3.7557	0.0080539	63.919
-0.060536	-6.169	-0.0098369	64.416
-0.075541	-8.448	0.0014755	64.782
-0.076363	-8.3898	0.0027051	64.892
-0.068644	-7.7792	0.021641	64.284
-0.048527	-6.4926	0.014202	63.751
-0.047624	-6.3786	-0.0039962	63.711
-0.046228	-6.3473	0.016661	63.657
-0.035656	-5.6848	-0.0022748	63.392
-0.032126	-4.8313	-0.01039	63.076
-0.027281	-4.0621	0.0058406	62.788
-0.021513	-3.4479	0.0010452	62.452
-0.021616	-2.9258	0.0023977	62.144
-0.016915	-2.4626	0.0092835	61.831
-0.013569	-2.1458	-0.018936	61.632
-0.012337	-2.0148	-0.026129	61.39
-0.012501	-1.9953	-0.0019674	61.458
-0.0055835	-1.0892	-0.0081769	61.119
