idx         Dr           G0           hpo           max1            res1            max3            res3            max5            res5            max7            res7            max9            res9            max11            res11            max13            res13            max15            res15            max17            res17            max19            res19            max21            res21            max23            res23            max25            res25            max27            res27            max29            res29            max31            res31            max33            res33            max35            res35            max37            res37            max39            res39            max41            res41            max43            res43            max45            res45            max47            res47            max49            res49            
30    0.625588    141.454000    0.076320    0.350945    0.350945    0.350945    0.350945    0.350944    0.350944    0.350944    0.350944    0.350944    0.350944    0.350480    0.350480    0.350073    0.350073    0.349464    0.349464    0.348848    0.348848    0.349265    0.349265    0.395831    0.395831    0.452433    0.452433    0.514494    0.514494    0.571071    0.571071    0.620790    0.620790    0.667281    0.667281    0.667539    0.667539    0.667494    0.667494    0.667807    0.667807    0.667859    0.667859    0.667804    0.667804    0.667648    0.667648    0.667130    0.667130    0.667035    0.667035    0.667101    0.667101    
31    0.500742    232.515000    0.421093    0.348075    0.348075    0.348074    0.348074    0.348075    0.348075    0.348074    0.348074    0.348074    0.348074    0.346514    0.346514    0.346868    0.346868    0.352215    0.352215    0.407252    0.407252    0.479395    0.479395    0.545492    0.545492    0.617785    0.617785    0.690827    0.690827    0.744999    0.744999    0.747735    0.747735    0.748650    0.748650    0.748580    0.748580    0.748616    0.748616    0.748563    0.748563    0.748674    0.748674    0.748618    0.748618    0.748615    0.748615    0.748436    0.748436    0.748344    0.748344    0.748255    0.748255    
32    0.625588    141.454000    0.076320    0.350945    0.350945    0.350945    0.350945    0.350944    0.350944    0.350944    0.350944    0.350944    0.350944    0.350480    0.350480    0.350073    0.350073    0.349464    0.349464    0.348848    0.348848    0.349265    0.349265    0.395831    0.395831    0.452433    0.452433    0.514494    0.514494    0.571071    0.571071    0.620790    0.620790    0.667281    0.667281    0.667539    0.667539    0.667494    0.667494    0.667807    0.667807    0.667859    0.667859    0.667804    0.667804    0.667648    0.667648    0.667130    0.667130    0.667035    0.667035    0.667101    0.667101    
33    0.542589    104.376000    0.228651    0.350478    0.350478    0.350478    0.350478    0.350478    0.350478    0.350478    0.350478    0.350477    0.350477    0.351076    0.351076    0.351471    0.351471    0.353315    0.353315    0.351535    0.351535    0.350453    0.350453    0.349344    0.349344    0.352239    0.352239    0.437264    0.437264    0.507781    0.507781    0.593862    0.593862    0.671796    0.671796    0.671762    0.671762    0.671834    0.671834    0.671800    0.671800    0.672300    0.672300    0.672111    0.672111    0.672236    0.672236    0.672389    0.672389    0.672516    0.672516    0.672698    0.672698    
34    0.739041    317.089000    0.018579    0.351978    0.351978    0.351978    0.351978    0.351977    0.351977    0.351977    0.351977    0.351978    0.351978    0.351099    0.351099    0.383697    0.383697    0.409335    0.409335    0.440217    0.440217    0.470227    0.470227    0.502430    0.502430    0.533062    0.533062    0.561486    0.561486    0.583897    0.583897    0.597832    0.597832    0.603815    0.603815    0.603625    0.603625    0.603340    0.603340    0.603076    0.603076    0.603017    0.603017    0.602925    0.602925    0.602925    0.602925    0.602931    0.602931    0.602954    0.602954    0.602967    0.602967    
35    0.480326    371.610000    0.483965    0.347468    0.347468    0.347468    0.347468    0.347468    0.347468    0.347467    0.347467    0.347467    0.347467    0.347599    0.347599    0.377899    0.377899    0.434715    0.434715    0.498032    0.498032    0.562625    0.562625    0.628478    0.628478    0.684008    0.684008    0.734483    0.734483    0.739440    0.739440    0.739813    0.739813    0.739788    0.739788    0.739675    0.739675    0.739556    0.739556    0.739423    0.739423    0.739296    0.739296    0.739182    0.739182    0.739084    0.739084    0.739035    0.739035    0.738938    0.738938    0.738924    0.738924    
36    0.739041    317.089000    0.018579    0.351978    0.351978    0.351978    0.351978    0.351977    0.351977    0.351977    0.351977    0.351978    0.351978    0.351099    0.351099    0.383697    0.383697    0.409335    0.409335    0.440217    0.440217    0.470227    0.470227    0.502430    0.502430    0.533062    0.533062    0.561486    0.561486    0.583897    0.583897    0.597832    0.597832    0.603815    0.603815    0.603625    0.603625    0.603340    0.603340    0.603076    0.603076    0.603017    0.603017    0.602925    0.602925    0.602925    0.602925    0.602931    0.602931    0.602954    0.602954    0.602967    0.602967    
37    0.500742    232.515000    0.421093    0.348075    0.348075    0.348074    0.348074    0.348075    0.348075    0.348074    0.348074    0.348074    0.348074    0.346514    0.346514    0.346868    0.346868    0.352215    0.352215    0.407252    0.407252    0.479395    0.479395    0.545492    0.545492    0.617785    0.617785    0.690827    0.690827    0.744999    0.744999    0.747735    0.747735    0.748650    0.748650    0.748580    0.748580    0.748616    0.748616    0.748563    0.748563    0.748674    0.748674    0.748618    0.748618    0.748615    0.748615    0.748436    0.748436    0.748344    0.748344    0.748255    0.748255    
38    0.625588    141.454000    0.076320    0.350945    0.350945    0.350945    0.350945    0.350944    0.350944    0.350944    0.350944    0.350944    0.350944    0.350480    0.350480    0.350073    0.350073    0.349464    0.349464    0.348848    0.348848    0.349265    0.349265    0.395831    0.395831    0.452433    0.452433    0.514494    0.514494    0.571071    0.571071    0.620790    0.620790    0.667281    0.667281    0.667539    0.667539    0.667494    0.667494    0.667807    0.667807    0.667859    0.667859    0.667804    0.667804    0.667648    0.667648    0.667130    0.667130    0.667035    0.667035    0.667101    0.667101    
39    0.460228    364.050000    0.684362    0.346875    0.346875    0.346875    0.346875    0.346874    0.346874    0.346874    0.346874    0.346874    0.346874    0.346882    0.346882    0.409570    0.409570    0.469042    0.469042    0.532081    0.532081    0.594338    0.594338    0.662085    0.662085    0.717972    0.717972    0.757057    0.757057    0.757144    0.757144    0.756647    0.756647    0.756362    0.756362    0.756121    0.756121    0.756015    0.756015    0.755850    0.755850    0.755700    0.755700    0.755575    0.755575    0.755443    0.755443    0.755369    0.755369    0.755345    0.755345    0.755317    0.755317    
40    0.463514    249.626000    0.500219    0.346747    0.346747    0.346746    0.346746    0.346746    0.346746    0.346746    0.346746    0.346746    0.346746    0.345677    0.345677    0.348000    0.348000    0.414107    0.414107    0.488106    0.488106    0.572081    0.572081    0.648073    0.648073    0.719462    0.719462    0.786229    0.786229    0.788449    0.788449    0.787957    0.787957    0.788007    0.788007    0.787755    0.787755    0.787717    0.787717    0.787541    0.787541    0.787492    0.787492    0.787296    0.787296    0.787137    0.787137    0.786994    0.786994    0.786843    0.786843    0.786760    0.786760    
41    0.486250    179.260000    0.499037    0.349175    0.349175    0.349175    0.349175    0.349174    0.349174    0.349174    0.349174    0.349173    0.349173    0.348900    0.348900    0.348699    0.348699    0.348243    0.348243    0.348520    0.348520    0.350573    0.350573    0.425495    0.425495    0.513823    0.513823    0.603046    0.603046    0.680213    0.680213    0.682575    0.682575    0.683493    0.683493    0.683536    0.683536    0.683600    0.683600    0.683644    0.683644    0.683608    0.683608    0.683645    0.683645    0.683651    0.683651    0.683745    0.683745    0.683370    0.683370    0.683258    0.683258    
42    0.480326    371.610000    0.483965    0.347468    0.347468    0.347468    0.347468    0.347468    0.347468    0.347467    0.347467    0.347467    0.347467    0.347599    0.347599    0.377899    0.377899    0.434715    0.434715    0.498032    0.498032    0.562625    0.562625    0.628478    0.628478    0.684008    0.684008    0.734483    0.734483    0.739440    0.739440    0.739813    0.739813    0.739788    0.739788    0.739675    0.739675    0.739556    0.739556    0.739423    0.739423    0.739296    0.739296    0.739182    0.739182    0.739084    0.739084    0.739035    0.739035    0.738938    0.738938    0.738924    0.738924    
43    0.625588    141.454000    0.076320    0.350945    0.350945    0.350945    0.350945    0.350944    0.350944    0.350944    0.350944    0.350944    0.350944    0.350480    0.350480    0.350073    0.350073    0.349464    0.349464    0.348848    0.348848    0.349265    0.349265    0.395831    0.395831    0.452433    0.452433    0.514494    0.514494    0.571071    0.571071    0.620790    0.620790    0.667281    0.667281    0.667539    0.667539    0.667494    0.667494    0.667807    0.667807    0.667859    0.667859    0.667804    0.667804    0.667648    0.667648    0.667130    0.667130    0.667035    0.667035    0.667101    0.667101    
44    0.487413    273.612000    0.463286    0.346780    0.346780    0.346780    0.346780    0.346781    0.346781    0.346780    0.346780    0.346780    0.346780    0.345513    0.345513    0.393402    0.393402    0.442710    0.442710    0.511279    0.511279    0.579714    0.579714    0.643442    0.643442    0.705662    0.705662    0.758140    0.758140    0.799171    0.799171    0.799915    0.799915    0.798998    0.798998    0.798921    0.798921    0.798553    0.798553    0.798305    0.798305    0.798115    0.798115    0.797901    0.797901    0.797646    0.797646    0.797449    0.797449    0.797334    0.797334    0.797302    0.797302    
