 max1, max3, max5, max7, max9, max11, max13, max15, max17, max19, max21, max23, max25, max27, max29, max31, max33, max35, max37, max39, max41, max43, max45, max47,max49
0.347468,0.347468,0.347468,0.347467,0.347467,0.347599,0.377899,0.434715,0.498032,0.562625,0.628478,0.684008,0.734483,0.73944,0.739813,0.739788,0.739675,0.739556,0.739423,0.739296,0.739182,0.739084,0.739035,0.738938,0.738924
0.351978,0.351978,0.351977,0.351977,0.351978,0.351099,0.383697,0.409335,0.440217,0.470227,0.50243,0.533062,0.561486,0.583897,0.597832,0.603815,0.603625,0.60334,0.603076,0.603017,0.602925,0.602925,0.602931,0.602954,0.602967
0.348075,0.348074,0.348075,0.348074,0.348074,0.346514,0.346868,0.352215,0.407252,0.479395,0.545492,0.617785,0.690827,0.744999,0.747735,0.74865,0.74858,0.748616,0.748563,0.748674,0.748618,0.748615,0.748436,0.748344,0.748255
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
0.346875,0.346875,0.346874,0.346874,0.346874,0.346882,0.40957,0.469042,0.532081,0.594338,0.662085,0.717972,0.757057,0.757144,0.756647,0.756362,0.756121,0.756015,0.75585,0.7557,0.755575,0.755443,0.755369,0.755345,0.755317
0.346747,0.346746,0.346746,0.346746,0.346746,0.345677,0.348,0.414107,0.488106,0.572081,0.648073,0.719462,0.786229,0.788449,0.787957,0.788007,0.787755,0.787717,0.787541,0.787492,0.787296,0.787137,0.786994,0.786843,0.78676
0.349175,0.349175,0.349174,0.349174,0.349173,0.3489,0.348699,0.348243,0.34852,0.350573,0.425495,0.513823,0.603046,0.680213,0.682575,0.683493,0.683536,0.6836,0.683644,0.683608,0.683645,0.683651,0.683745,0.68337,0.683258
0.347468,0.347468,0.347468,0.347467,0.347467,0.347599,0.377899,0.434715,0.498032,0.562625,0.628478,0.684008,0.734483,0.73944,0.739813,0.739788,0.739675,0.739556,0.739423,0.739296,0.739182,0.739084,0.739035,0.738938,0.738924
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
0.34678,0.34678,0.346781,0.34678,0.34678,0.345513,0.393402,0.44271,0.511279,0.579714,0.643442,0.705662,0.75814,0.799171,0.799915,0.798998,0.798921,0.798553,0.798305,0.798115,0.797901,0.797646,0.797449,0.797334,0.797302
0.348075,0.348074,0.348075,0.348074,0.348074,0.346514,0.346868,0.352215,0.407252,0.479395,0.545492,0.617785,0.690827,0.744999,0.747735,0.74865,0.74858,0.748616,0.748563,0.748674,0.748618,0.748615,0.748436,0.748344,0.748255
0.348879,0.348879,0.348879,0.348878,0.348879,0.348816,0.349379,0.350029,0.351409,0.419977,0.493202,0.56585,0.636999,0.712279,0.715088,0.716071,0.71606,0.715992,0.715806,0.715535,0.715328,0.715102,0.715056,0.715023,0.714914
0.348302,0.348302,0.348302,0.348302,0.348301,0.347333,0.347928,0.34843,0.350019,0.419906,0.498663,0.584169,0.660749,0.742276,0.745575,0.746507,0.746473,0.746392,0.746177,0.745869,0.745585,0.745293,0.745245,0.745154,0.745049
0.346875,0.346875,0.346874,0.346874,0.346874,0.346882,0.40957,0.469042,0.532081,0.594338,0.662085,0.717972,0.757057,0.757144,0.756647,0.756362,0.756121,0.756015,0.75585,0.7557,0.755575,0.755443,0.755369,0.755345,0.755317
0.348545,0.348544,0.348545,0.348545,0.348544,0.348449,0.394449,0.445322,0.493272,0.544722,0.595376,0.647475,0.691905,0.728974,0.730217,0.730751,0.730662,0.730617,0.730605,0.730577,0.730521,0.73051,0.730424,0.730441,0.730461
0.347078,0.347078,0.347077,0.347077,0.347078,0.347118,0.411461,0.473243,0.532882,0.597734,0.662962,0.719532,0.741928,0.742585,0.742127,0.741754,0.741643,0.741423,0.741302,0.741131,0.740962,0.740814,0.740727,0.740692,0.740683
0.347768,0.347767,0.347767,0.347767,0.347766,0.347831,0.390801,0.437211,0.49312,0.545348,0.600235,0.648771,0.69802,0.73292,0.734116,0.734469,0.734409,0.734334,0.734276,0.734258,0.734232,0.734208,0.734075,0.733964,0.733968
0.346665,0.346665,0.346665,0.346664,0.346665,0.345408,0.39496,0.446572,0.511018,0.58068,0.647858,0.713684,0.764705,0.803835,0.804924,0.804934,0.804873,0.804555,0.804268,0.804108,0.803928,0.803677,0.803478,0.803363,0.803348
0.349192,0.349192,0.349192,0.349191,0.349192,0.349116,0.349277,0.349566,0.350338,0.40351,0.473773,0.546263,0.624077,0.694892,0.698228,0.699078,0.699182,0.699109,0.699202,0.699187,0.699237,0.699288,0.698916,0.698703,0.698618
0.347468,0.347468,0.347468,0.347467,0.347467,0.347599,0.377899,0.434715,0.498032,0.562625,0.628478,0.684008,0.734483,0.73944,0.739813,0.739788,0.739675,0.739556,0.739423,0.739296,0.739182,0.739084,0.739035,0.738938,0.738924
0.350588,0.350588,0.350588,0.350588,0.350587,0.349499,0.348072,0.348081,0.347021,0.345785,0.345164,0.373693,0.438315,0.520665,0.585744,0.663969,0.663743,0.663544,0.663591,0.66397,0.663736,0.663826,0.663934,0.664042,0.664125
0.347073,0.347073,0.347072,0.347072,0.347071,0.346858,0.405442,0.464098,0.526894,0.593369,0.660453,0.722986,0.771668,0.780654,0.780928,0.780657,0.780537,0.780384,0.780206,0.780131,0.780104,0.780083,0.779997,0.780004,0.779962
