eval_id	interface	Dr	G0	hpo	nCycles.CovMultiplier	nCycles_1	nCycles_2	nCycles_3	nCycles_4	nCycles_5	nCycles_6	
46	1	0.5190253081428663	198.42264247732254	0.31300764804598125	1.1525000040044482	24.25	24.25	10.25	5.25	3.25	1.5	
47	1	0.49532797104858767	193.7578973297507	0.39828028004239274	1.0173758729922575	21.5	21.5	8.5	4.5	2.5	1.5	
48	1	0.4602279144105479	364.0495393248994	0.684361684740651	0.6351119164865006	31.25	31.25	12.5	7.25	4.25	2.5	
49	1	0.5772997868602743	319.1987277898327	0.1421260668763435	1.3592304960423596	26.25	26.25	10.5	6.25	4.25	2.5	
50	1	0.46531965893909183	388.2527292718412	0.6602235643427834	0.7859782193847364	30.25	30.25	12.5	7.25	4.25	2.5	
51	1	0.4948083503141024	340.6410517517084	0.5961454824972738	0.752718998995026	31.5	31.5	13.25	7.25	4.25	2.5	
52	1	0.4844155124225833	277.24758898949165	0.4840003647270376	1.082503844660794	18.5	18.5	7.5	4.25	2.5	1.5	
53	1	0.5257265809722981	184.14876264796982	0.2980415887900817	1.055923052524845	27.5	27.5	11.25	6.25	3.5	2.25	
54	1	0.4803258880428775	371.6099234070298	0.48396543759406785	0.5525515980921913	20.25	20.25	8.5	4.5	3.25	1.5	
55	1	0.5474414349264216	108.60437197827133	0.22742679719710843	0.610388936273565	27.5	27.5	11.25	5.5	3.25	1.5	
56	1	0.5123104434340106	284.2081653860175	0.3197864103511263	1.331308711345542	23.5	23.5	9.5	5.25	3.25	2.25	
57	1	0.4603658023871673	337.16769729182676	0.6689025494659576	0.5828308443911735	25.5	25.5	10.5	5.5	3.5	2.25	
58	1	0.7390413273692963	317.0887942249621	0.018579067272274367	1.4926389047911974	85.5	85.5	34.5	18.5	11.5	6.5	
59	1	0.5425892210036409	104.37567940429282	0.2286513558669345	0.5787438879335112	25.25	25.25	10.25	5.25	3.25	1.5	
60	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	25.25	25.25	10.25	5.5	3.5	2.25	
61	1	0.5007418055993351	232.5151562899878	0.42109292255420233	1.0198693965855552	26.5	26.5	11.25	6.25	3.5	2.25	
62	1	0.4602279144105479	364.0495393248994	0.684361684740651	0.6351119164865006	27.5	27.5	11.25	6.25	3.5	2.25	
63	1	0.4884132350814083	354.5513577428414	0.4556208074376225	0.46724955457850115	24.5	24.5	10.25	6.25	3.5	2.25	
64	1	0.6226486482251989	134.54321176270875	0.0787662624461743	0.33674003233859745	16.25	16.25	6.5	3.5	2.25	1.25	
